file,status,method,n
error_de__v1_355051380061_0.jpg,"rejected (rim 1.00, fill 0.64)",hough,0
error_de__v1_355051383634_0.jpg,"rejected (rim 0.99, fill 0.67)",hough,0
error_de__v1_355098142051_0_a.png,ok,hough,2
error_de__v1_355098142051_0_b.png,ok,hough,2
error_de__v1_355120983114_0.jpg,"rejected (rim 0.99, fill 0.82)",hough,0
error_de__v1_355413337177_0.jpg,"rejected (rim 1.00, fill 0.58)",hough,0
error_de__v1_355413345363_0.png,ok,hough,1
error_de__v1_355413386618_0.png,ok,threshold,1
error_de__v1_355464257079_0_a.png,ok,hough,2
error_de__v1_355464257079_0_b.png,ok,hough,2
error_de__v1_355464295237_0_a.png,ok,hough,2
error_de__v1_355464295237_0_b.png,ok,hough,2
error_de__v1_355464311725_0_a.png,ok,hough,2
error_de__v1_355464311725_0_b.png,ok,hough,2
error_de__v1_355499155115_0.png,ok,hough,1
error_de__v1_355662479475_0.jpg,"rejected (rim 0.58, fill 0.98)",hough,0
error_de__v1_355685575972_0_a.png,ok,hough,2
error_de__v1_355685575972_0_b.png,ok,hough,2
error_de__v1_355685816217_0_a.png,ok,hough,2
error_de__v1_355685816217_0_b.png,ok,hough,2
error_de__v1_355696088636_0_a.png,ok,hough,2
error_de__v1_355696088636_0_b.png,ok,hough,2
error_de__v1_355732915705_0_a.png,ok,hough,2
error_de__v1_355732915705_0_b.png,ok,hough,2
error_de__v1_355732934716_0_a.png,ok,hough,2
error_de__v1_355732934716_0_b.png,ok,hough,2
error_de__v1_355732963306_0_a.png,ok,hough,2
error_de__v1_355732963306_0_b.png,ok,hough,2
error_de__v1_355732972541_0.png,ok,threshold,1
error_de__v1_355732984840_0.jpg,"rejected (rim 0.97, fill 0.76)",hough,0
error_de__v1_355784662967_0_a.png,ok,hough,2
error_de__v1_355784662967_0_b.png,ok,hough,2
error_de__v1_356041329504_0_a.png,ok,hough,2
error_de__v1_356041329504_0_b.png,ok,hough,2
error_de__v1_356064527439_0_a.png,ok,hough,2
error_de__v1_356064527439_0_b.png,ok,hough,2
error_de__v1_356800826640_0.jpg,"rejected (rim 0.64, fill 0.80)",hough,0
error_de__v1_357599505253_0.png,ok,hough,1
